simulation_id,max_vehicles_num,vehicle_interval_min,vehicle_interval_max,vehicle_position_update_interval,vehicle_life_time,num_lanes,lane_width,vehicle_speed,vehicle_length,tag_start_offset,tag_height,vehicle_direction,use_tag_front,use_tag_back,use_reader_antenna_front,use_reader_antenna_back,use_doppler,ber_model,permittivity,conductivity,thermal_noise,reader_rounds_per_antenna,reader_session_strategy,m,dr,tari,data0_multiplier,rtcal_multiplier,sl,session,trext,q,reader_antenna_offset,reader_antenna_height,reader_antenna_rp,reader_antenna_gain,reader_antenna_cable_loss,reader_antenna_angle,reader_antenna_polarization,reader_circulator_noise,reader_frequency,reader_tx_power,reader_switch_power,reader_power_on_interval,reader_power_off_interval,epc_size,tid_size,tag_sensitivity,tag_antenna_rp,tag_antenna_gain,tag_antenna_polarization,tag_modulation_loss,tag_s1_persistence,tag_s2_persistence,tag_s3_persistence,tag_sl_persistence
0,100,0.4,0.6,0.001,,2,3.5,90,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,4,8,18.75,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,120,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,4,8,18.75,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,30,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,4,8,25,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,60,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,4,8,25,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,90,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,4,8,25,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,120,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,4,8,25,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,30,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,1,8,12.5,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,60,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,1,8,12.5,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,90,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,1,8,12.5,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,120,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,1,8,12.5,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,30,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,2,8,12.5,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,60,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,2,8,12.5,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,90,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,2,8,12.5,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,120,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,2,8,12.5,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,30,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,4,8,12.5,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,60,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,4,8,12.5,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,90,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,4,8,12.5,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,120,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,4,8,12.5,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,30,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,8,8,12.5,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,60,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,8,8,12.5,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,90,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,8,8,12.5,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
0,100,0.4,0.6,0.001,,2,3.5,120,4.0,31.0,0.5,"(1, 0, 0)",True,True,True,True,True,rayleigh,15.0,0.03,-114.0,1,A,8,8,12.5,2.0,2.0,ALL,0,False,4,1.0,5.0,dipole,6.0,-2.0,0.7853981633974483,0.5,-80.0,860000000,31.5,True,2.0,0.1,12,6,-18.0,dipole,2.0,1.0,-12.0,0.5,2.0,2.0,2.0
